1617, LEE, TRESA, female
1617, PENA, PERLA, female
1622, TRENT, LEE, female
1624, PATEL, RENAE, female
1625, EPPS, ALAN, male
1629, LANE, EASTER, female
1632, EPPS, EARL, male
1640, PATE, ART, male
1649, LE, RENE, female
1657, EPPS, LEE, male
1659, PATE, LANE, male
1666, PATE, ESTELA, female
1667, TATE, PERLA, female
1681, PATE, RAE, female
1685, LE, ART, male
1686, PLATT, RENEE, female
1692, PATE, SERENA, female
1694, STREET, ANA, female
1697, LEE, ENA, female
1705, PETERS, ALETA, female
1715, EPPS, ANA, female
1716, TRENT, AL, male
1718, NEAL, EASTER, female
1726, LE, RAE, female
1732, PATEL, TERA, female
1737, EPPS, TARA, female
1737, LE, SERENA, female
1745, PATE, SELENA, female
1745, PENA, EASTER, female
1758, TRENT, ELSA, female
1759, EPPS, ARLENE, female
1764, TATE, LAN, female
1766, STERN, LEE, male
1772, LANE, ERA, female
1772, STREET, LENA, female
1775, LANE, TRESA, female
1783, PATE, EARLE, male
1788, REESE, LAN, female
1791, SAPP, EARL, male
1793, EPPS, LENA, female
1796, PATEL, RETA, female
1799, PLATT, RENE, male
1812, LESTER, TANA, female
1816, SAPP, LEE, male
1825, PATE, LES, male
1829, EPPS, RENE, male
1850, STREET, NEAL, male
1853, PRATT, LAN, female
1859, PATE, ERNA, female
1861, NEAL, ERA, female
1864, NEAL, TRESA, female
1870, PETERS, ENA, female
1871, EPPS, NEAL, male
1875, EPPS, LEE, female
1875, SAPP, RENEE, female
1882, PATE, SAL, male
1888, PENA, ERA, female
1891, PENA, TRESA, female
1904, LE, ERNA, female
1914, LEE, STAR, female
1918, SAPP, ARLENE, female
1921, PATE, LETA, female
1924, PATE, LESA, female
1938, TATE, ERA, female
1946, EPPS, ELENA, female
1946, PETERS, ELNA, female
1946, TRENT, LEA, female
1948, STREET, AL, male
1952, SAPP, LENA, female
1955, PATEL, TENA, female
1962, LESTER, TENA, female
1963, PATE, RENAE, female
1969, EPPS, AL, male
1973, PATEL, RENATE, female
1983, STREET, LANA, female
1984, STERN, LEE, female
1988, SAPP, RENE, male
2004, EPPS, LANA, female
2005, PATE, ARLEEN, female
2008, LE, RENAE, female
2008, PLATT, RENA, female
2008, STERN, PETE, male
2021, TATE, ENA, female
2030, SAPP, NEAL, male
2030, STERN, PAT, female
2034, PATE, LEN, male
2034, SAPP, LEE, female
2038, EPPS, RENA, female
2038, PATEL, EASTER, female
2044, EARL, SEAN, male
2044, EPPS, TRENT, male
2055, PATEL, TRENA, female
2064, PATE, ARLEN, male
2070, EPPS, ETTA, female
2071, PATE, TERA, female
2072, LANE, STAR, female
2078, STERN, AL, male
2090, PATE, ALENE, female
2096, PETERS, ELANA, female
2097, TATE, ELNA, female
2100, STERN, PAT, male
2105, SAPP, ELENA, female
2108, LE, ASA, male
2110, PRATT, ENA, female
2116, LE, TERA, female
2128, SAPP, AL, male
2135, PATE, RETA, female
2153, EPPS, ALTA, female
2161, NEAL, STAR, female
2167, ERNST, LEE, male
2167, LEE, ESTA, female
2167, PETERS, ALENA, female
2176, TRENT, LES, male
2178, PLATT, RENE, female
2178, STREET, LEA, female
2180, LE, RETA, female
2181, PATEL, ERA, female
2184, PATEL, TRESA, female
2186, PRATT, ELNA, female
2188, PENA, STAR, female
2189, LE, TANA, female
2197, LEE, RANA, female
2197, SAPP, RENA, female
2198, SALTER, PETE, male
2199, EPPS, LEA, female
2199, LE, SANTA, female
