RANK, LAST NAME, FIRST NAME, GENDER
636, PENA, KAYLA, female
637, BASS, ANA, female
638, BASS, RENEE, female
638, BERRY, LANA, female
638, RYAN, AL, male
639, PENA, LEE, female
640, PENA, BLAKE, male
642, PARK, ANA, female
643, PARK, RENEE, female
643, PARKS, NEAL, male
643, PAYNE, ELSA, female
643, RAY, LANA, female
644, PENA, KERRY, male
644, REESE, KAY, female
645, BERRY, ELSA, female
645, REYES, RENA, female
645, SPARKS, ANA, female
646, SPARKS, RENEE, female
647, PARKS, LEE, female
650, BANKS, AL, male
650, RAY, ELSA, female
651, PAYNE, ABEL, male
652, NEAL, KARA, female
653, BARKER, NEAL, male
654, LARSEN, SARA, female
656, BEASLEY, SARA, female
657, BARKER, LEE, female
658, RAY, ABEL, male
666, BEASLEY, SEAN, male
668, PENA, KARLA, female
672, REYES, REBA, female
673, PARK, BEN, male
676, SPARKS, BEN, male
677, RAY, RENA, female
679, PENA, KARA, female
680, BASS, PEARL, female
680, RYAN, ELSA, female
681, BASS, ARLENE, female
684, BASS, KARL, male
686, PARK, ARLENE, female
688, RYAN, ABEL, male
689, SPARKS, ARLENE, female
690, AYERS, KAREN, female
690, BLAKE, PERRY, male
691, LARA, KAREN, female
692, BANKS, ELSA, female
695, AYALA, RENEE, female
697, PAYNE, REBA, female
698, BLAKE, RENE, male
702, BAKER, LEA, female
702, LARSEN, RAY, male
704, RAY, REBA, female
710, REESE, KAYLA, female
711, BAKER, RENE, female
711, BRYAN, PEARL, female
712, PARKER, LEA, female
713, LANE, REBA, female
715, BASS, LENA, female
715, BRYAN, KARL, male
718, PARKS, ELENA, female
720, PARK, LENA, female
721, BASS, KEN, male
723, NEAL, KERRY, female
723, SPARKS, LENA, female
725, AYALA, BEN, male
727, LARA, RYAN, male
728, BARKER, ELENA, female
728, BASS, KAY, female
729, LEE, BARNEY, male
730, SPEARS, KAREN, female
732, BAKER, LARA, female
733, PENA, AL, male
734, RYAN, REBA, female
741, PARKS, AL, male
742, BEAN, LARRY, male
742, REESE, KARLA, female
743, BASS, PERRY, male
744, BARNES, LEA, female
746, PENA, ALYSSA, female
749, PERRY, LEA, female
750, PENA, KERRY, female
751, BARKER, AL, male
751, BASS, RENE, male
753, BEASLEY, ANA, female
753, REESE, KARA, female
756, PARK, RENE, male
759, SPARKS, RENE, male
761, AYERS, SARA, female
762, LARA, SARA, female
764, BARKER, ALYSSA, female
766, BAKER, LANE, male
766, SPEARS, RYAN, male
768, AYERS, ALAN, male
771, AYERS, SEAN, male
772, LARA, SEAN, male
774, BARNES, LARA, female
775, AYERS, EARL, male
775, KANE, LARRY, male
775, LEE, RAE, female
775, PENA, ELSA, female
776, PARKER, LANE, male
776, PARKS, LANA, female
778, AYALA, KEN, male
780, LARA, BRYAN, male
783, PARKS, ELSA, female
783, PENA, ABEL, male
786, BARKER, LANA, female
788, BAKER, RAE, female
789, BARR, ALAN, male
791, PARKS, ABEL, male
792, BARR, SEAN, male
793, BARKER, ELSA, female
793, BASS, NEAL, male
794, BASS, KAYLA, female
797, BASS, LEE, female
797, BEAN, SARA, female
798, PARK, NEAL, male
799, BAKER, SERENA, female
800, AYERS, LEE, male
801, SPARKS, NEAL, male
802, BASS, KERRY, male
802, NEAL, REBA, female
802, PARK, LEE, female
805, SPARKS, LEE, female
806, REYES, LEA, female
807, REESE, AL, male
808, AYALA, RENE, male
808, SPEARS, ALAN, male
810, LARA, RAY, male
810, PARKS, RENA, female
810, SALAS, KAREN, female
811, BEAN, EARL, male
812, KERR, ALAN, male
813, PERRY, LANE, male
815, KERR, SEAN, male
815, SPEARS, EARL, male
819, SPEARS, BRYAN, male
821, BARR, LEE, male
824, BARR, KYLE, male
826, BASS, KARLA, female
828, BRYAN, LEE, female
829, PENA, REBA, female
830, BARNES, RAE, female
830, KANE, SARA, female
831, BAKER, ALANA, female
831, PAYNE, LEA, female
832, BRAY, KAREN, female
833, BERRY, LEA, female
836, BEAN, LEE, male
836, REYES, LARA, female
837, BASS, KARA, female
837, BEASLEY, KEN, male
837, PARKS, REBA, female
838, RAY, LEA, female
839, BEAN, KYLE, male
840, SPEARS, LEE, male
841, PARKER, ALANA, female
842, LARSEN, KAY, female
842, REESE, LANA, female
843, SPEARS, KYLE, male
844, KANE, EARL, male
844, KERR, LEE, male
845, BEAN, RAY, male
846, SALAS, RYAN, male
847, RAY, RENE, female
